Point to generaate
50
Take number
6
Type of simulatio
Point simulation without limits
Begin time
2020-08-01 09:50:34
y	x
0.7	1
m	q
-0.0467293	0.746729
0.101872	0.598128
-0.0276998	0.7277
-0.0328134	0.732813
-0.0705491	0.770549
0.167483	0.532517
0.121592	0.578408
-0.0227432	0.722743
0.140742	0.559258
0.0486767	0.651323
0.074201	0.625799
0.0237097	0.67629
0.111739	0.588261
0.0621997	0.6378
-0.0840766	0.784077
-0.072065	0.772065
0.0214294	0.678571
-0.00576566	0.705766
0.186132	0.513867
0.0310104	0.66899
0.2279	0.4721
0.152371	0.547629
0.187589	0.512411
-0.0347256	0.734726
0.181107	0.518893
0.0996852	0.600315
0.19007	0.50993
0.197064	0.502936
-0.0996415	0.799641
0.160581	0.539419
0.0623559	0.637644
-0.0463708	0.746371
0.02912	0.67088
0.134656	0.565344
0.0208159	0.679184
0.0585709	0.641429
0.0688057	0.631194
-0.090925	0.790925
0.135828	0.564172
-0.0237859	0.723786
0.0577517	0.642248
-0.0233046	0.723305
0.0999238	0.600076
-0.0638431	0.763843
0.138895	0.561105
0.115847	0.584153
-0.0359082	0.735908
-0.0730089	0.773009
0.210082	0.489918
-0.083109	0.783109
Number of m and q generated
50
